fdn-teaser-headline,fdn-teaser-subheadline,fdn-event-teaser-location-link,fdn-inline-split-list,uk-text-muted,fdn-event-teaser-price,fdn-teaser-tag-link,fdn-teaser-description
Wigle Whiskey Public Tours,Saturdays,Wigle Whiskey,"2401 Smallman St., Pittsburgh",Strip District,,Other Stuff,412-224-2827
Spanish Conversation Group,"Saturdays, 3:30-5 p.m.",Target,"6231 Penn Ave, Pittsburgh",East Liberty,,Other Stuff,"Friendly, informal. Meet at Starbucks.
          
        
          
            412-362-6108"
The Helltown Tap Room Saturday Afternoon Jazz Jam w/ Tony Campbell,"Saturdays, 5-8 p.m.",Helltown Tap Room,"1700 Penn Ave [strip district], Pittsburgh",Strip District,,Jazz,"Socially distancing jazz jam session. Musicians and Vocalists are welcome !!!!!!!!!!!!!!! Singers must bring their own microphone !!! Drummers must bring their own sticks ! Horn players must be 6 feet apart !!!!!! Wipes are on hand. Tony Campbell -Sax Jevon Rushton - Drums Eli Naragon - Bass Antonio Croes - Keys
          
        
          
            412-315-7059"
The Helltown Tap Room Saturday Afternoon Jazz Jam w/ Tony Campbell/Jazzsurgery,"Saturdays, 5-8 p.m.",Helltown Tap Room,"1700 Penn Ave [strip district], Pittsburgh",Strip District,,Jazz,"Socially Distancing Jazz Jam. Musicians and Vocalists are Welcome !!!!!!!!!!!!!!!!!!!!!!!!!! Singers must bring their own microphones !!!!!!! No Exception !!! Drummers must bring their own sticks !!!!! Horn players must be 6 feet apart !!!!!!!!! Wipes are on hand Tony Campbell - Sax Eli Naragon - Bass David Hanson - Drums  Joe Sheehan - Keys
          
        
          
            412-315-7059"
Higher Ground,"Saturdays, 5-6 p.m.",Christ Lutheran Church,"910 North Avenue, Millvale",Millvale,,Other Music,"Looking for a different worship experience?

Higher Ground offers interactive worship with open prayer, singing, music by Soul Spirit, and preaching by Pastor Scott on the spiritual subjects that affect us today.  Come and be a part of the joyous, upbeat and energizing experience that abides in Higher Ground each week at CLC Millvale. Childcare is provided.
          
        
          
            412-821-4300"
Tony Campbell Jazzsurgery,"Saturdays, 5-7:30 p.m.",Wallace's Tap Room,"123 N Highland Ave, Pittsburgh",East Liberty,$5.00,Jazz,412 -665 - 0555
Drop-In Improv Workshops - Beginner,"Every other Saturday, 6-7 p.m.",BGC Community Activity Center,"113 N. Pacific Ave., Pittsburgh",Garfield,10,Comedy,"New to improv? Always wanted to try it? Want to try something new or meet new people? Then this is the workshop for you! Our bi-weekly drop-in workshop is a perfect way to start your improv journey in a low-risk, high reward and super supportive environment! Every other Saturday evening, this one-hour workshop will give you an opportunity to play improv games, learn and work on new skills, meet new people, and rediscover play!

This workshop is led by an experienced teacher from 412Improv. It’s a great way to sample one of our beginner improv classes. Improvisers at ANY level
          
        
          
            412-441-6950"
Da Kave presents Sanctuary Saturdays,"Every other Saturday, 6-11 p.m.",Da Kave,"1502 Lincoln Avenue, Pittsburgh",Lincoln-Lemington,10,Open Stage,"Bringing that fly, soulful, live open mic vibe to the Lincoln-Lemington area beginning this Saturday, May 4, 2019! It's Da Kave presents Sanctuary Saturdays, hosted by Spoken Word Artist/Actor, Leslie Ezra Smith, an open mic love experience going on every other Saturday, doors opening at 6pm, $10, BYOB! Click the link for more information! Looking for comedians, poets, spoken word artists, singers, rappers, authors, musicians, dancers, community leaders, and entrepreneurs! Doors open and open mic opens at 6pm, open mic begins at 7pm sharp.
          
        
          
            412-939-7816"
"""Disco Happy Hour"" Saturdays","Saturdays, 6-9 p.m.",The Goldmark,"4517 Butler St, Pittsburgh",Lawrenceville,Free,DJs,"Every Saturday, The Goldmark hosts the ""Disco Happy Hour"" from 6pm-9pm featuring Pittsburgh's best DJs playing classic & nu disco cuts.  Also featuring... *Weekly Rotating Craft Cocktail Menu *Outdoor Patio (weather permitting) *Local Breweries On Tap *Frozen Cocktails *No Cover
          
        
          
            412-688-8820"
The Dinner Detective Interactive Murder Mystery Dinner Show,"Saturdays, 6-9 p.m.",Omni William Penn,"530 William Penn Pl., Pittsburgh",Downtown,$61.95,Theater,"America's largest interactive murder mystery comedy dinner show. Just beware. The killer is hiding somewhere in the room, and you may find yourself as a Prime Suspect. The Dinner Detective Murder Mystery Dinner Show performs on Saturday nights. We also offer private shows that are customized to your group with roles for your group members to play.
          
        
          
            866-496-0535"
Saturday Night Improv @ BGC!,"Saturdays, 7:30-9:30 p.m.",BGC Community Activity Center,"113 N. Pacific Ave., Pittsburgh",Garfield,10,Comedy,"It's time to Love, Laugh and Enjoy. Join us at the BGC Activity Center Saturday evenings for an evening of improv with performances by Narsh and Penny Pressed!  Shows start promptly at 7:30 PM so don't be late!
          
        
          
            412-441-6950"
DJ Storming Norman,"Saturdays, 8 p.m.-1 a.m.",,,,Free,DJs,412-716-4009
Swing City,"Saturdays, 8 p.m.",Wightman School,"5604 Solway, Pittsburgh",Squirrel Hill,,Other Stuff,"Learn & practice swing dancing skills w/ the Jim Adler Band.
          
        
          
            412-759-1569"
The Unplanned Comedy Warehouse Saturday,"Saturdays, 8 p.m.",Unplanned Comedy Warehouse,"5601Butler Street 2nd Floor, Pittsburgh",Lawrenceville,$10,Comedy,"Improv, Stand-up, Sketch Comedy, and Hop Farm Brewery all in sunny Upper-Lawrenceville.
          
        
          
            412-212-7061"
"Acoustic Songwriters at The Starlite, hosted by Robert Wagner of The Little Wretches","Saturdays, 8-10 p.m.",Starlite Lounge,"364 Freeport Road, Blawnox",Blawnox,Tips,Acoustic,"You write songs? Where you playing at Saturday night? Why not?

Remember Graffiti? It used to market itself as ""the Greenwich Village Scene of Pittsburgh."" Do you even know about the Greenwich Village scene? If you don't you should.

Yes. Even the legendary voices of the Greenwich Village scene passed a hat and split the proceeds. And they came out to support each other. Not everyone got famous. Not everyone had a hit record. But they made something happen.

Genius emerges from community.

So if you write songs, get off your butt and get out and play.
          
        
          
            412-828-2040"
Saturday Night Reader!,"Saturdays, 9 p.m.-12 a.m.",Amazing Books & Records,"5858 Forbes Ave, Pittsburgh",Squirrel Hill,free,Literary,"Savor a free beer or sparkling water while you browse Pittsburgh's largest used book and record store, every every Saturday night from 1 hour after sunset until midnight. Always get a free used book or record, priced up to $10 with every 3 items that you buy.
          
        
          
            412-421-7000"
Saturday Nights w/ DJ Nugget & Friends,"Saturdays, 10 p.m.-2 a.m.",The Goldmark,"4517 Butler St, Pittsburgh",Lawrenceville,Free Before 10pm - $5 After 10pm,DJs,"Pittsburgh's best open format DJ's can be found at The Goldmark every Saturday night.  Expect an energetic mix of Pop, Hip-Hop, Latin, Funk, Soul, 80's, 90's, House, EDM & More.
          
        
          
            412-688-8820"
Philosophical Self-inquiry Discussion Group,"Every other Monday, 6-8 p.m.","Carnegie Library, Oakland","4400 Forbes Avenue, Pittsburgh",Oakland,,Other Stuff,412-622-3114
Drop-In Improv Workshops - Advanced @ BGC Community Activity Center,"Every other Saturday, 6-7 p.m.",BGC Community Activity Center,"113 N. Pacific Ave., Pittsburgh",Garfield,10,Comedy,"Made for improvisers with intermediate to advanced experience, this workshop will give you the reps and coaching opportunities you need in order to hone your improv skills. Every other Saturday evening, this one-hour drop in workshop will give you an opportunity to get stage time with some guidance and coaching. Every other week, join our experienced improv teachers from 412improv, to get valuable feedback and gain new skills. Also, It’s a great way to sample what we will teach in our intermediate and advanced classes.
          
        
          
            412-441-6950"
